trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	tilt	participant	session	date	expName	psychopyVersion	frameRate	expStart
65	0	65	0	108.1948076		108.1813115	108.1948076	109.1940507	109.1940507	109.1940507	109.4939955	109.7288823	up	0	0.5177726	None	2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
66	0	66	0	109.7439411		109.7324862	109.7439411	110.7440533	110.7440533	110.7440533	111.0438986	111.1957918	down	1	0.4497151	None	4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
67	0	67	0	111.2106352		111.1990808	111.2106352	112.2108422	112.2108422	112.2108422	112.5108637	112.9455184	up	1	0.7233303	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
68	0	68	0	112.9615918		112.9486696	112.9615918	113.9611227	113.9611227	113.9611227	114.2608534	114.4454385	up	0	0.467943	None	-2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
69	0	69	0	114.4606129		114.4486269	114.4606129	115.4606582	115.4606582	115.4606582	115.7606754	116.1958795	down	1	0.7335385	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
70	0	70	0	116.2106388		116.1990453	116.2106388	117.210961	117.210961	117.210961	117.5107423	118.1623344	down	1	0.9448802	None	-3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
71	0	71	0	118.1773059		118.1656855	118.1773059	119.177474	119.177474	119.177474	119.4774381	119.6615664	up	0	0.4757314	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
72	0	72	0	119.6773229		119.6631537	119.6773229	120.67753	120.67753	120.67753	120.9774978	121.4622168	up	1	0.7810651	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
73	0	73	0	121.4773918		121.4652982	121.4773918	122.4775515	122.4775515	122.4775515	122.7774096	123.0121498	up	1	0.5321532	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
74	0	74	0	123.0273447		123.0153609	123.0273447	124.0274937	124.0274937	124.0274937	124.3276059	124.4122214	up	0	0.3774516	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
75	0	75	0	124.4273656		124.4154862	124.4273656	125.4276828	125.4276828	125.4276828	125.7273	125.9623594	down	1	0.5228784	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
76	0	76	0	125.9774333		125.9656079	125.9774333	126.9775342	126.9775342	126.9775342	127.2773372	127.5288713	up	1	0.5444608	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
77	0	77	0	127.5439724		127.5319843	127.5439724	128.544159	128.544159	128.544159	128.8440166	129.0788533	up	1	0.5270402	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
78	0	78	0	129.0940747		129.0820954	129.0940747	130.0941512	130.0941512	130.0941512	130.3941371	130.5291053	up	1	0.4179666	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
79	0	79	0	130.5441902		130.5324373	130.5441902	131.5441931	131.5441931	131.5441931	131.8439887	131.9790409	down	1	0.4298497	None	-2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
80	0	80	0	131.994087		131.9823974	131.994087	132.9943031	132.9943031	132.9943031	133.2939978	133.5622648	up	1	0.5559413	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
81	0	81	0	133.5775879		133.5645914	133.5775879	134.5774849	134.5774849	134.5774849	134.8774794	135.2122925	up	1	0.6287015	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
82	0	82	0	135.2274489		135.2155259	135.2274489	136.2275892	136.2275892	136.2275892	136.5275234	136.8954553	down	1	0.6626215	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
83	0	83	0	136.9107012		136.898452	136.9107012	137.9109399	137.9109399	137.9109399	138.2108941	138.7287915	up	0	0.806825	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
